,Package name,Reviewer name,Review,Rating
0,com.p1.chompsms,David Karr,I ve use chomp galaxy note nine quite custom sound notification set top level several specific number couple week ago sound stop work curiously thing happen whatsapp time however samsung message app work fine chomp whatsapp setting verify sound configure hear message arrive vibrate try reboot,4
1,com.p1.chompsms,Jill Cowan,use app year like since begin love never want anything else android thirteen update roll really mess app phone long light get text real problem depend set app need serious update catch android thirteen please fix asap phone lagging half time app freeze can not even open,4
2,com.p1.chompsms,Stephanie J,absolutely love app easy use much basic sm app phone love delay send option great reminder friend say use free version two hour purchase pay version ad anything like instead want support great product great product edit 11two8twotwo I ve use chomp two year still love,5
3,com.p1.chompsms,Mike R,option change notification sound need easily accessible pretty tucked away kind hard find change font app scans font show application actually change mean get go conversation view scroll outgoing message see font option scan font easily find option change include right,3
4,com.p1.chompsms,Virginia Mayberry,I ve use chomp several year love however I m start get mass spam text multiple phone number attach option add original sender block list able add block list menu long press contact info chat bubble would super,4
5,com.p1.chompsms,Kayla W.,amazing sm app option customize aesthetic element simple yet thorough ad completely noninvasive literally gripe message notification take half screen incredibly small price pay speak small price one time payment adfree experience extra theme literally five plus tax totally affordable ever extra spend money yet necessary improve experience love app,5
6,com.p1.chompsms,Derik Arendall,issue I ve really encounter think sometimes text notification block do not go away open need swipe away phone notification list really go away aside great app great breadth customization option perfect anyone want play different aesthetic texting ui,4
7,com.p1.chompsms,R honda D,love feature reason another message send receive time sudden get start happen two week ago suggestion hiccup app amazing update per chomp samsung update issue reset network setting general management,5
8,com.p1.chompsms,Melissa Gurney,use year easy set pretty intuitive except able voice text have not able figure another bummer can not send video I ve try send three second video get error message do not support great app,5
9,com.p1.chompsms,KENNETH MCGHEE,use chomp daily basis last five year find much feature rich messenger app preinstalle samsung iphone besides chomp customization ability schedule text delivery followng day game changer listen apple also love easy backup restore previous message,5
10,com.p1.chompsms,Jayden W.,finicky experience one be not even appwide dark mode two manually select delete multiple three dot menu inconvenient slow three slow overall look great either developer odd preference enough effort put design,2
11,com.p1.chompsms,Brandi Darlas,usually use textra currently issue write review switch chomp issue find one unread dot be not stay color set revert back original color save two setting still original whitegreen background do not take theme set sure glitch white hard eye dark mode good even light gray would well please consider fix thank,3
12,com.p1.chompsms,Rob S,would really help lose ad one want see fake message ashley furniture pop message list sincerely doubt anyone actually click link anyway also do not like group text picture message function group text way send individual message either go everyone also whenever get picture message app do not work do not get popup notice like app do not know,4
13,com.p1.chompsms,Natural Nashuan,excellent ad be not intrusive actually interesting well google texting app come lhone allow single text delete without delete entire conversation easy use send photo though write space limit have not trouble three year later I m still pleased two thousand twenty - two,5
14,com.p1.chompsms,Ian Icecaster,freeze every often ask ya wanna close wait like app far beyond app still issue type long message girl refuse send sm mms version take screen shoot every paragraph send image read entire text I m shop new app use one pay find something well ill dump move,2
15,com.p1.chompsms,LADY. S,I ve use chomp ten year I ve never issue reason I ve major software problem app can not delete none message app uninstalled delete message original app reinstall chomp message still really like app signature feature think I m look another message app chomps fix issue,1
16,com.p1.chompsms,Allendefullism kin s s hi,work fine default samsung texting app require press view long text use google texting app repeatedly text send never receive one pretty major problem chomp review allow five hundred character cut short get popup notification chomp year eventually discover go phone setting like ten screensinfoundtheoptiontoenablethem,5
17,com.p1.chompsms,Layne Erdman,chomp want update review I ve use year tmobile text app terrible chomp good basic app kind frill fun stuff like verizon give regularly emojis etc stable reliable miss platform search capability can not search particular conversation search photo limited job,3
18,com.p1.chompsms,Private Party,give three five star one font size small can not change two could not find block sender option finally find feature lock message image come select image text another menu appear thing list immediately setting,3
19,com.p1.chompsms,Jackie Kidwell,need find app due msg app phone long make group text possible response come back within group chomp second download try work flawlessly group week small add appear top intrusive one thing wish app would able sort contact category favorite business client etc pin favorite top list thank chomp,5
20,com.p1.chompsms,Randy Borow,samsung galaxy stwenty - one ultra last year favorite sm text message app unfortunately change two month ago inexplicable reason none outgoing message use chomp receive receive message send message none recipient get end look like deliver none I ve try every fix nothing work simply can not use chomp anymore,1
21,com.p1.chompsms,MoonMuk,use love app use year good customization app sms recently mess whole life receive important text be not send half text idea send ten one word text row phone person will not get single text do not even say error can not use app anymore do not think could trust ever,1
22,com.p1.chompsms,Pamela Holmes,great texting app love various color background download one app allow signature end message also love send group text previously message app cause issue also like ease use,5
23,com.p1.chompsms,Phil Loyd,trucker could really use voice recording feature ability send receive voice text rather pull often really big deal app previously would allow sixty second voice recording time please add type feature gladly rate five star everything else seem fine thank,2
24,com.p1.chompsms,Jaye Eryk,every time customize ringtone use different theme lose critical point text app get zero notification couple day work normally get audio alert text come get sort notification whatsoever absolutely clue ever get text render app completely useless uncustomizable however leave alone hate work fine,2
25,com.p1.chompsms,A Google user,overall excellent messaging experience extent one customize experience great opportunity contribute greatly feel app issue ad mostly unintrusive app load late may push conversation click cause click ad infrequent minor avoidable problem however wish option customize size shape quickreply popup,5
26,com.p1.chompsms,Natasha Prentice,great app ad be not invasive wish could personalize message alert tone contact great app reply recommend screen show white bottom option save cancel choose save message flash tell enter info save work,4
27,com.p1.chompsms,A Google user,look new app send message photo app come android phone stop send photo find chomp far work great download two extra accesorie customize look fun necessary love option thing I m crazy ad keep click accidentaly bit annoying you re hurry hey nothing free world,5
